Name,NGOs
https://www.activecitizensfund.gr/foreas/panelladiki-synomospondia-ellinon-roma-ellan-passe/,Ελλάν Πασσέ - Πανελλαδική Συνομοσπονδία Ελλήνων Ρομά
https://www.activecitizensfund.gr/foreas/elliniki-antikarkiniki-etairia/,Ελληνική Αντικαρκινική Εταιρεία
https://www.activecitizensfund.gr/foreas/3664/,Ελληνική Ένωση για τα Δικαιώματα του Ανθρώπου (ΕλΕΔΑ)
https://www.activecitizensfund.gr/foreas/elliniki-etaireia-oikotoyrismoy/,Ελληνική Εταιρεία Οικοτουρισμού
https://www.activecitizensfund.gr/foreas/elliniki-etairia-prostasia-aytistikon-atomon-e-e-p-a-a/,Ελληνική Εταιρία Προστασία Αυτιστικών Ατόμων – Ε.Ε.Π.Α.Α.
https://www.activecitizensfund.gr/foreas/elliniki-leschi-toy-vivlioy/,Ελληνική Λέσχη του Βιβλίου
https://www.activecitizensfund.gr/foreas/elliniki-paraolymiaki-epitropi/,Ελληνική Παραολυμπιακή Επιτροπή
https://www.activecitizensfund.gr/foreas/elliniko-diktyo-katagmaton-eythraystotitas-ffn-gr/,Ελληνικό Δίκτυο Καταγμάτων Ευθραυστότητας (FFN GR)
https://www.activecitizensfund.gr/foreas/elliniko-diktyo-frontiston-epioni/,Ελληνικό Δίκτυο Φροντιστών ΕΠΙΟΝΗ
https://www.activecitizensfund.gr/foreas/elliniko-idryma-eyropaikis-kai-exoterikis-politikis-eliamep/,Ελληνικό Ίδρυμα Ευρωπαϊκής και Εξωτερικής Πολιτικής (ΕΛΙΑΜΕΠ)
https://www.activecitizensfund.gr/foreas/elliniko-paidiko-moyseio/,Ελληνικό Παιδικό Μουσείο
https://www.activecitizensfund.gr/foreas/emantes-koinoniki-synetairistiki-epicheirisi-syllogikis-kai-koinonikis-ofeleias/,Εμάντες
https://www.activecitizensfund.gr/foreas/enosi-ellinon-roma-diamesolaviton-kai-synergaton-toys/,Ένωση Ελλήνων Ρομά Διαμεσολαβητών και Συνεργατών τους
https://www.activecitizensfund.gr/foreas/enosi-ergazomenon-katanaloton-elladas-2/,Ένωση Εργαζομένων Καταναλωτών Ελλάδας
https://www.activecitizensfund.gr/foreas/enosi-kyrion-dramas/,Ένωση Κυριών Δράμας
https://www.activecitizensfund.gr/foreas/etairia-perifereiakis-anaptyxis-kai-psychikis-ygeias-e-p-a-ps-y/,ΕΠΑΨΥ
https://www.activecitizensfund.gr/foreas/estia-kentro-koinonikis-frontidas-atomon-me-noitiki-ysterisi/,ΕΣΤΙΑ – Κέντρο Κοινωνικής Φροντίδας Ατόμων με Νοητική Υστέρηση
https://www.activecitizensfund.gr/foreas/etaireia-eleytheroy-logismikoy-logismikoy-anoiktoy-kodika-eel-lak/,Εταιρεία Ελεύθερου Λογισμικού / Λογισμικού Ανοικτού Κώδικα – ΕΕΛ/ΛΑΚ
https://www.activecitizensfund.gr/foreas/etaireia-meletis-ton-epistimon-toy-anthropoy-emea/,Εταιρεία Μελέτης των Επιστημών του Ανθρώπου – ΕΜΕΑ
https://www.activecitizensfund.gr/foreas/etairia-koinonikis-psychiatrikis-kai-psychikis-ygeias-panagiotis-sakellaropoylos/,Εταιρία Κοινωνικής Ψυχιατρικής Π. Σακελλαρόπουλος
https://www.activecitizensfund.gr/foreas/etairia-merimnas-amp-apokatastasis-atomon-me-psychokoinonika-provlimata/,Εταιρία Μέριμνας & Αποκατάστασης Ατόμων με Ψυχοκοινωνικά Προβλήματα
https://www.activecitizensfund.gr/foreas/etairia-prostasias-ton-prespon-epp/,Εταιρία Προστασίας Πρεσπών
https://www.activecitizensfund.gr/foreas/eyropaiko-diktyo-kata-tis-vias/,Ευρωπαϊκό Δίκτυο κατά της Βίας
https://www.activecitizensfund.gr/foreas/eyropaiko-institoyto-dikaioy-epistimis-kai-technologias/,"""Ευρωπαϊκό Ινστιτούτο Δικαίου, Επιστήμης και Τεχνολογίας"""
https://www.activecitizensfund.gr/foreas/thalassa-allileggyis/,Θάλασσα Αλληλεγγύης
